Airports, Time Slot, Taxi Out Delay
Sioux Gateway Airport,Morning,14.869888475836431
Roanoke Regional Airport (Woodrum Field),Morning,14.84676007005254
Yuma International Airport,Morning,14.84396551724138
Savannah/Hilton Head International Airport,Afternoon,14.824027072758037
Devils Lake Regional Airport,Afternoon,14.818181818181818
Destin-Fort Walton Beach Airport/Eglin AFB,Morning,14.817577925396014
Friedman Memorial Airport,Evening,14.80952380952381
Akron-Canton Regional Airport,Morning,14.797006206644761
McCarran International Airport,Morning,14.784063040244442
Portland International Jetport,Morning,14.781026252983294
Denver International Airport,Afternoon,14.767687450923834
Redmond Municipal Airport (Roberts Field),Night,14.759856630824373
Arnold Palmer Regional Airport,Morning,14.759345794392523
Albert J. Ellis Airport,Evening,14.75925925925926
Golden Triangle Regional Airport,Morning,14.754125412541255
Charleston International Airport/Charleston AFB,Afternoon,14.736636513157896
Cherry Capital Airport,Morning,14.73574660633484
Monterey Regional Airport (Monterey Peninsula Airport),Afternoon,14.735265700483092
Delta County Airport,Morning,14.733333333333333
Memphis International Airport,Morning,14.729368761422746
Fort Lauderdale-Hollywood International Airport,Morning,14.727142857142857
Brunswick Golden Isles Airport,Afternoon,14.72439024390244
Midland International Airport,Night,14.709905660377359
Port Columbus International Airport,Morning,14.70780559646539
Raleigh-Durham International Airport,Morning,14.703714754587498
Jamestown Regional Airport,Evening,14.683794466403162
John Wayne Airport (Orange County Airport),Morning,14.678715108002724
General Mitchell International Airport,Morning,14.674136321195144
Grand Junction Regional Airport (Walker Field),Evening,14.671140939597315
Southwest Florida International Airport,Night,14.668131868131868
Louisville International Airport (Standiford Field),Morning,14.664476885644769
Orlando International Airport,Evening,14.663305479672184
Capital Region International Airport ( Lansing Capital City),Afternoon,14.65764705882353
Juneau International Airport,Afternoon,14.654135338345865
Blue Grass Airport,Evening,14.651101321585903
Sloulin Field International Airport,Evening,14.642105263157895
Delta County Airport,Night,14.632411067193676
Spokane International Airport,Morning,14.627912741695587
Albany International Airport,Morning,14.608244365361804
Daytona Beach International Airport,Evening,14.6
Rapid City Regional Airport,Afternoon,14.59049959049959
St. Cloud Regional Airport,Afternoon,14.5625
Santa Maria Public Airport (Capt G. Allan Hancock Field),Afternoon,14.56
Dothan Regional Airport,Morning,14.554621848739496
Tulsa International Airport,Night,14.554166666666667
Cherry Capital Airport,Night,14.550898203592814
Indianapolis International Airport,Morning,14.550850932950585
Daytona Beach International Airport,Morning,14.540675844806007
Bangor International Airport,Afternoon,14.539823008849558
Bellingham International Airport,Afternoon,14.538461538461538
Seattle-Tacoma International Airport,Night,14.535509138381201
Minot International Airport,Evening,14.532710280373832
Bellingham International Airport,Morning,14.523076923076923
Raleigh-Durham International Airport,Afternoon,14.521472392638037
McGhee Tyson Airport,Afternoon,14.521448248720976
Cincinnati/Northern Kentucky International Airport,Evening,14.520793169925641
Natrona County International Airport,Morning,14.51949860724234
Pittsburgh International Airport,Morning,14.516725189428941
St. George Regional Airport,Evening,14.496402877697841
Philadelphia International Airport,Night,14.49110671936759
McGhee Tyson Airport,Morning,14.485557481224726
